config,mpxi_windowed_active_mean,cnr_sector_mean,aperture_diam_mm
mobo_0095_ap0.9149_nap216_nd1_646_nd2_956,1.1091154018859453,1.7692713141441343,0.9148667335510254
mobo_0096_ap0.9322_nap133_nd1_120_nd2_960,1.2360433604336043,2.0030564665794373,0.9321658372952012
mobo_0097_ap0.2220_nap187_nd1_530_nd2_920,2.181117914280071,4.17542024453481,0.2220114186406135
mobo_0098_ap0.8126_nap257_nd1_172_nd2_862,1.0946601941747574,1.5872346262137096,0.8126488655805588
mobo_0099_ap0.5142_nap126_nd1_660_nd2_544,1.3360239162929746,2.83436648050944,0.5142208836972714
mobo_0100_ap0.9689_nap104_nd1_582_nd2_492,1.1952054794520548,2.149759391943613,0.9688770018517971
mobo_0101_ap0.7702_nap269_nd1_292_nd2_246,1.0995475113122173,1.5349190135796864,0.7701971508562566
mobo_0102_ap0.7672_nap266_nd1_132_nd2_264,1.0398126463700237,1.4134989182154338,0.7672085396945476
mobo_0103_ap0.8277_nap231_nd1_652_nd2_904,1.1610323518720465,1.8321627974510195,0.8276983097195625
mobo_0104_ap0.3765_nap210_nd1_542_nd2_580,2.0584158415841585,3.9046300252278647,0.37645248696208
mobo_0105_ap0.6246_nap185_nd1_230_nd2_348,1.4169325153374233,2.030992190043132,0.6246454387903213
mobo_0106_ap0.7968_nap125_nd1_324_nd2_290,1.2783091638383215,2.0925634503364563,0.7968071475625038
mobo_0107_ap0.5967_nap161_nd1_618_nd2_280,1.3497224425059478,2.466023604075114,0.5966874040663243
mobo_0108_ap0.9761_nap141_nd1_600_nd2_870,1.2536812193231723,2.046216289202372,0.976141706854105
mobo_0109_ap0.3149_nap243_nd1_626_nd2_392,2.164998978966714,3.5864278078079224,0.3149049818515778
mobo_0110_ap0.9943_nap174_nd1_168_nd2_342,1.1849809079338145,1.8473580479621887,0.9942958131432532
mobo_0111_ap0.2868_nap74_nd1_546_nd2_314,1.260120986505351,3.7070487340291343,0.2867568224668503
mobo_0112_ap0.9073_nap228_nd1_138_nd2_272,1.0215311004784688,1.3532468775908153,0.9073462687432768
mobo_0113_ap0.8325_nap148_nd1_596_nd2_252,1.3196286472148542,2.118827799956004,0.8325271584093572
mobo_0114_ap0.7754_nap266_nd1_626_nd2_960,1.1247130833970926,1.65097709496816,0.7753981633974482
mobo_0115_ap0.7754_nap266_nd1_610_nd2_960,1.1210795040116703,1.7089768846829732,0.7753981633974482
mobo_0116_ap0.7921_nap192_nd1_348_nd2_892,1.4034380305602716,2.184102555116018,0.7920523747801782
mobo_0117_ap0.4127_nap249_nd1_326_nd2_500,2.4261854482626224,2.636592964331309,0.4127105593681335
mobo_0118_ap0.9171_nap79_nd1_290_nd2_942,1.123741610738255,2.3535590171813965,0.9170634269714356
mobo_0119_ap0.3148_nap265_nd1_352_nd2_940,2.3724949439235155,3.3647831877072654,0.3148175448179245
mobo_0120_ap0.4558_nap60_nd1_660_nd2_488,1.1646646646646646,3.4590815703074136,0.4557987497398341
mobo_0121_ap0.5650_nap62_nd1_660_nd2_542,1.111866501854141,2.754952371120453,0.5649869454468962
mobo_0122_ap0.6575_nap60_nd1_120_nd2_868,1.0787671232876712,2.51247501373291,0.6575407975331922
mobo_0123_ap0.2000_nap60_nd1_660_nd2_534,1.2536732929991357,2.5663292010625205,0.2
mobo_0124_ap0.4141_nap60_nd1_120_nd2_866,1.1986032300305542,3.774302363395691,0.41413624872
mobo_0125_ap0.6272_nap80_nd1_660_nd2_452,1.11986301369863,2.6346792380015054,0.6272136477084352
mobo_0126_ap0.3726_nap60_nd1_660_nd2_580,1.1930933852140078,3.7381317218144736,0.3726431722568088
mobo_0127_ap0.5464_nap101_nd1_660_nd2_280,1.1825249907441688,2.6882856686909995,0.5464226457383307
mobo_0128_ap0.4941_nap60_nd1_660_nd2_278,1.1228070175438596,3.0064533948898315,0.4940884839619816
mobo_0129_ap0.4102_nap60_nd1_660_nd2_264,1.1540697674418603,3.723358233769735,0.410184933712088
mobo_0130_ap0.8158_nap253_nd1_120_nd2_298,1.0073529411764706,1.36525164047877,0.8157545907656965
mobo_0131_ap0.4498_nap79_nd1_660_nd2_492,1.213048731373339,3.6422774394353232,0.449780652743508
mobo_0132_ap0.4221_nap60_nd1_628_nd2_604,1.1415047334329846,3.7970861196517935,0.4220901530392253
mobo_0133_ap0.4008_nap70_nd1_660_nd2_562,1.1871590432228285,3.846100807189941,0.4008311388024335
mobo_0134_ap0.4522_nap60_nd1_156_nd2_898,1.213012048192771,3.487363894780477,0.4521586109394186
mobo_0135_ap0.4368_nap88_nd1_574_nd2_278,1.291033434650456,3.569902578989665,0.4368045865713928
mobo_0136_ap0.4350_nap101_nd1_586_nd2_498,1.293471629042099,3.66226863861084,0.4349770718572195
mobo_0137_ap0.4454_nap123_nd1_660_nd2_522,1.4024122807017545,3.3291263580322266,0.4454392632715747
mobo_0138_ap0.4580_nap76_nd1_288_nd2_916,1.254932912391476,3.4672329823176065,0.4579561382944868
mobo_0139_ap0.3898_nap60_nd1_560_nd2_622,1.0923694779116466,3.803126653035482,0.389840217827879
mobo_0140_ap0.3997_nap60_nd1_604_nd2_544,1.1150442477876106,3.8082488377889,0.3997346178213601
mobo_0141_ap0.4324_nap111_nd1_660_nd2_548,1.387456037514654,3.4005632797876992,0.432390030929519
mobo_0142_ap0.4193_nap72_nd1_660_nd2_446,1.2077865266841643,3.7288844982783,0.4192936693031703
mobo_0143_ap0.3689_nap112_nd1_570_nd2_266,1.4876207729468598,4.08921480178833,0.3688949345616453
mobo_0144_ap0.6469_nap257_nd1_324_nd2_880,1.2709431751611011,2.0364766319592795,0.6468713176049552
mobo_0145_ap0.7487_nap261_nd1_336_nd2_886,1.1471981057616416,1.8314621647199,0.7486969695047745
mobo_0146_ap0.6870_nap136_nd1_474_nd2_258,1.254041570438799,2.213549534479777,0.6869939680971124
mobo_0147_ap0.6747_nap243_nd1_284_nd2_858,1.2738722905682485,2.0146604776382446,0.6747162019796553
mobo_0148_ap1.0000_nap190_nd1_120_nd2_308,1.125268817204301,1.6395322879155476,1.0
mobo_0149_ap0.5235_nap125_nd1_432_nd2_244,1.4070609535304768,2.843076109886169,0.5235108509210923
mobo_0150_ap0.8438_nap209_nd1_338_nd2_840,1.1771300448430493,2.022321502367656,0.8438369291382093
mobo_0151_ap0.8843_nap177_nd1_212_nd2_300,1.3848627256987385,1.8931277394294737,0.8842760752783796
mobo_0152_ap0.8420_nap196_nd1_460_nd2_874,1.2957261029411764,2.160121262073517,0.8419915651448204
mobo_0153_ap0.6204_nap110_nd1_592_nd2_456,1.2150231399074405,2.690287470817566,0.6204182924737338
mobo_0154_ap0.8125_nap254_nd1_270_nd2_852,1.0957446808510638,1.6616554061571758,0.8125035884398473
mobo_0155_ap0.4250_nap87_nd1_496_nd2_628,1.319178082191781,3.698501110076904,0.4249523927864868
mobo_0156_ap0.7204_nap215_nd1_252_nd2_838,1.4013980088964202,2.099076191584269,0.7203758807245502
mobo_0157_ap0.8061_nap256_nd1_224_nd2_288,1.0675675675675675,1.425715486208598,0.806077779155161
mobo_0158_ap0.6722_nap270_nd1_408_nd2_908,1.238782051282051,1.96077173948288,0.6721770745191773
mobo_0159_ap0.7801_nap152_nd1_398_nd2_280,1.2960062646828503,2.016690711180369,0.7801431285080334
mobo_0160_ap0.7916_nap127_nd1_660_nd2_282,1.2485353068146778,2.1389770110448203,0.791630071473451
mobo_0161_ap0.7725_nap267_nd1_382_nd2_864,1.104502973661852,1.703823745250702,0.7724565972424016
mobo_0162_ap0.3205_nap268_nd1_264_nd2_886,2.435687732342008,3.58125114440918,0.3204975647220863
mobo_0163_ap0.6383_nap230_nd1_120_nd2_848,1.439785168353646,1.918083727359772,0.6382975256204282
mobo_0164_ap0.8740_nap178_nd1_506_nd2_876,1.327201904349708,2.0741471648216248,0.873959137729136
mobo_0165_ap0.8093_nap255_nd1_308_nd2_850,1.0737410071942446,1.6240804592768352,0.8092780841714557
mobo_0166_ap0.9023_nap229_nd1_184_nd2_832,1.050755939524838,1.57937686642011,0.9022965566101364
mobo_0167_ap0.5742_nap260_nd1_290_nd2_286,1.369552752293578,1.9569908579190567,0.5742006644565367
mobo_0168_ap0.3741_nap91_nd1_660_nd2_318,1.293645251396648,3.87012231349945,0.3741208577092428
mobo_0169_ap0.7951_nap209_nd1_138_nd2_826,1.219896973599485,1.9275346398353577,0.7950701500726427
mobo_0170_ap0.7695_nap268_nd1_264_nd2_858,1.0899209486166008,1.6672537724177043,0.7695369830735866
mobo_0171_ap0.3778_nap130_nd1_322_nd2_254,1.653234649122807,3.878958264986674,0.3777761468945806
mobo_0172_ap0.9120_nap175_nd1_332_nd2_304,1.3400977995110024,1.953584611415863,0.9120083256246349
mobo_0173_ap0.3500_nap117_nd1_446_nd2_236,1.5102831594634871,4.207452575365703,0.3500025745580721
mobo_0174_ap0.3900_nap96_nd1_510_nd2_434,1.352657004830918,3.9150060415267935,0.3899634263059116
mobo_0175_ap0.4299_nap119_nd1_556_nd2_486,1.460232097367676,3.524233897527059,0.4299381762948737
